date,Category,net_worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,Pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
2015:Q3,Bottom50,936327,5410239,2693628,1139158,133765,571139,152199,720351,4473912,2398643,1881844,193425
2015:Q4,Top1,26548290,27276215,3454648,798195,9875936,1762054,5268714,6116668,727925,457736,78208,191981
2015:Q4,Next9,32799346,35313906,7087907,964559,6811429,10851713,3146518,6451780,2514560,2077525,270264,166771
2015:Q4,Next40,25344942,31259039,9966257,2101173,2427824,10230242,1280806,5252738,5914098,4572451,1202585,139062
2015:Q4,Bottom50,1051966,5475613,2708942,1143107,137804,586829,151426,747506,4423647,2385152,1839572,198923
2016:Q1,Top1,27134982,27885832,3509413,810972,10083604,1801726,5340062,6340055,750850,464343,85220,201287
2016:Q1,Next9,33275817,35756358,7195671,959797,6923985,10965758,2958645,6752502,2480540,2062560,270813,147167
2016:Q1,Next40,25487070,31427512,10113476,2132655,2447205,10270456,1353281,5110438,5940442,4600507,1202713,137222
2016:Q1,Bottom50,1069619,5460764,2690219,1155906,139270,585623,138053,751693,4391145,2355684,1840081,195380
2016:Q2,Top1,27736776,28504527,3601674,830578,10405200,1836208,5440073,6390795,767752,473218,87182,207352
2016:Q2,Next9,33900090,36388185,7395616,943552,7108521,11107540,2936638,6896319,2488095,2060095,278329,149671
2016:Q2,Next40,25637201,31666997,10349874,2157945,2489506,10332253,1399126,4938294,6029796,4652218,1233448,144130
2016:Q2,Bottom50,1048740,5456881,2676882,1166828,142157,587299,134675,749040,4408141,2349561,1866144,192436
2016:Q3,Top1,28233890,29019339,3640224,822487,10757303,1871527,5542096,6385702,785449,483092,90879,211478
2016:Q3,Next9,34533037,37048018,7523450,962722,7311861,11301155,3019234,6929596,2514981,2070719,285504,158758
2016:Q3,Next40,26084979,32217475,10565106,2171929,2537407,10432949,1415488,5094596,6132496,4709269,1267215,156012
2016:Q3,Bottom50,1156114,5597913,2800519,1164098,145413,593762,138998,755123,4441798,2345712,1906233,189853
2016:Q4,Top1,28168537,28946984,3712887,813795,10900458,1832397,5549019,6138429,778447,486037,86464,205946
2016:Q4,Next9,34607876,37138596,7623557,985540,7422376,11378053,3061026,6668044,2530720,2102771,287599,140350
2016:Q4,Next40,26729605,32906953,10787961,2182847,2555321,10484334,1446011,5450478,6177347,4731894,1295740,149713
2016:Q4,Bottom50,1178697,5663208,2823470,1171966,145192,609416,139822,773342,4484511,2338118,1950957,195436
2017:Q1,Top1,29080196,29856652,3800218,816121,11584640,1826666,5620295,6208712,776457,489016,87447,199994
2017:Q1,Next9,35584716,38145421,7742461,1004347,7861169,11619922,3073356,6844166,2560705,2140967,281364,138374
2017:Q1,Next40,27239796,33426772,11019269,2204936,2664476,10676092,1458857,5403143,6186976,4751126,1286024,149826
2017:Q1,Bottom50,1229981,5717623,2810955,1191178,151147,637776,141921,784645,4487641,2325218,1960335,202088
2017:Q2,Top1,29562215,30329718,3841555,807977,11963967,1821795,5741978,6152446,767503,492716,83209,191578
2017:Q2,Next9,36284887,38895305,7919320,1021231,8113578,11797314,3221939,6821922,2610418,2182355,282216,145847
2017:Q2,Next40,27528348,33778232,11179763,2209037,2719194,10817235,1461925,5391078,6249884,4778344,1308508,163032
2017:Q2,Bottom50,1340636,5875222,2936099,1194506,153439,655653,151181,784344,4534586,2320558,1997476,216552
2017:Q3,Top1,30091819,30856381,3906927,799183,12394906,1806860,5838909,6109597,764562,496914,81760,185888
2017:Q3,Next9,37014613,39660674,8065241,1042466,8399756,12005291,3318181,6829739,2646061,2226209,281451,138401
2017:Q3,Next40,28028437,34328017,11400706,2213456,2784982,10981805,1474445,5472623,6299579,4810846,1327339,161394
2017:Q3,Bottom50,1407405,5992046,3013012,1198682,156309,677959,157114,788970,4584641,2321175,2040971,222495
2017:Q4,Top1,30952615,31704041,3971437,792296,13124176,1782894,5956840,6076397,751426,500766,77116,173544
2017:Q4,Next9,37919361,40631961,8162296,1072013,8865095,12242276,3477585,6812696,2712600,2264245,283885,164470
2017:Q4,Next40,28736692,35118422,11615224,2227069,2898553,11164407,1477574,5735595,6381730,4841953,1359745,180032
2017:Q4,Bottom50,1462629,6113336,3056584,1210734,162440,709371,166816,807391,4650707,2321697,2092300,236710
2018:Q1,Top1,31185394,31934669,3987217,785521,13071894,1766618,6028999,6294420,749275,503632,77992,167651
2018:Q1,Next9,38284885,41034164,8273365,1091660,8856806,12262955,3431926,7117452,2749280,2306887,276817,165576
2018:Q1,Next40,28736875,35124418,11679181,2252823,2879444,11182388,1518016,5612566,6387543,4856299,1345284,185960
2018:Q1,Bottom50,1569662,6214394,3139922,1226710,159614,710816,163533,813799,4644731,2302470,2094816,247445
2018:Q2,Top1,31508153,32247918,4038410,780918,13260259,1741854,6106268,6320209,739765,508006,73980,157779
2018:Q2,Next9,38966542,41756559,8440319,1116101,8992158,12397275,3646206,7164500,2790018,2354128,276440,159450
2018:Q2,Next40,29029048,35475726,11860957,2274988,2897840,11280213,1507923,5653806,6446678,4888674,1362742,195262
2018:Q2,Bottom50,1668399,6361773,3243982,1243329,159401,729644,176577,808840,4693373,2301985,2126537,264851
2018:Q3,Top1,32210926,32946782,4100234,780428,13838578,1695199,6164614,6367728,735856,512741,71282,151833
2018:Q3,Next9,39661620,42495733,8568744,1140570,9365767,12624983,3556492,7239177,2834114,2398606,277831,157677
2018:Q3,Next40,29555124,36073180,12056433,2289008,2983942,11446006,1560351,5737440,6518056,4927631,1393658,196767
2018:Q3,Bottom50,1692245,6457574,3298034,1258249,163575,765599,170155,801961,4765329,2309328,2184363,271638
2018:Q4,Top1,30440030,31170949,4160866,749503,11747744,1704189,6196490,6612157,730919,516224,66792,147903
2018:Q4,Next9,38287555,41131417,8630725,1169994,8121244,12199066,3580957,7429431,2843862,2432409,279158,132295
2018:Q4,Next40,29140217,35715554,12262841,2331406,2623122,11131370,1592437,5774378,6575338,4955607,1421587,198144
2018:Q4,Bottom50,1602246,6429041,3326893,1270757,137882,708550,170341,814618,4826796,2307302,2230610,288884
2019:Q1,Top1,32665757,33402320,4304963,771187,13800425,1673529,6258798,6593417,736562,518321,68324,149917
2019:Q1,Next9,40434612,43281205,8824742,1175459,9389090,12676189,3710127,7505598,2846593,2453696,272768,120129
2019:Q1,Next40,30464357,37035384,12600799,2346358,2953883,11496059,1587881,6050404,6571028,4971944,1410220,188864
2019:Q1,Bottom50,1669074,6486763,3254486,1294974,158330,767823,179432,831719,4817689,2295774,2237199,284716
2019:Q2,Top1,33178141,33912634,4332441,772771,14117900,1645634,6343016,6700872,734493,522415,65178,146900
2019:Q2,Next9,41319389,44202825,8972829,1195300,9608633,12890532,3933945,7601587,2883436,2482185,272660,128591
2019:Q2,Next40,30860517,37503480,12694024,2371195,3000000,11665189,1573966,6199107,6642963,5011510,1429928,201525
2019:Q2,Bottom50,1755365,6633775,3347241,1315694,159524,790605,193689,827022,4878410,2307541,2273182,297687
2019:Q3,Top1,33295446,34033758,4315021,752128,14168416,1610110,6407041,6781042,738312,526977,63518,147817
2019:Q3,Next9,41789273,44706422,9037048,1238479,9673323,12996443,4068380,7692749,2917149,2520873,272852,123424
2019:Q3,Next40,31049757,37756871,12744583,2393166,3009860,11759011,1581140,6269111,6707114,5051069,1455299,200746
2019:Q3,Bottom50,1880687,6822979,3515601,1327116,157922,800395,202042,819903,4942292,2316504,2325795,299993
2019:Q4,Top1,34708925,35445481,4336129,758893,15319679,1575200,6533109,6922470,736556,530042,61293,145221
2019:Q4,Next9,43007842,45964049,9122774,1256954,10372040,13322316,3969755,7920209,2956207,2544087,277461,134659
2019:Q4,Next40,31803654,38573672,12858578,2397708,3208662,12008610,1631696,6468418,6770018,5076470,1481837,211711
2019:Q4,Bottom50,1999730,7000965,3610893,1336569,170814,838339,193866,850484,5001235,2333052,2360094,308089
2020:Q1,Top1,31378894,32125005,4376543,732867,11643093,1599091,6587058,7186352,746111,532856,66232,147023
2020:Q1,Next9,40354829,43339825,9233966,1266668,8167673,12638986,3989185,8043347,2984996,2566297,272749,145950
2020:Q1,Next40,31031111,37818325,13016997,2449755,2628964,11527212,1644993,6550404,6787214,5098901,1459001,229312
2020:Q1,Bottom50,1954317,6969928,3694244,1348894,131033,732092,194576,869089,5015610,2346465,2342042,327103
2020:Q2,Top1,34686907,35436320,4453173,755623,14532699,1563630,6706176,7425018,749412,536580,69114,143718
2020:Q2,Next9,43283989,46299644,9361918,1274284,9924677,13305164,3990397,8443204,3015656,2592749,268605,154302
2020:Q2,Next40,32669377,39469223,13247360,2433692,3120403,12044127,1685387,6938254,6799845,5131250,1436357,232238
2020:Q2,Bottom50,2154196,7164628,3723971,1354649,163071,814131,191572,917234,5010432,2369319,2315678,325435
2020:Q3,Top1,36176500,36924134,4484124,785023,15855885,1541225,6899995,7357882,747634,543190,70161,134283
2020:Q3,Next9,44515428,47631719,9526345,1318016,10714443,13657183,3914148,8501584,3116291,2643493,270771,202027
2020:Q3,Next40,33468602,40357684,13375576,2530537,3334954,12303628,1758384,7054605,6889082,5188410,1451691,248981
2020:Q3,Bottom50,2358181,7438624,3846304,1431157,177533,855759,181691,946179,5080443,2412422,2343601,324420
